wave,flux
3792.821,0.9615712
3793.782,0.9470786
3794.743,0.894672
3795.705,0.8539593
3796.666,0.8559142
3797.627,0.8446134
3798.588,0.8439056
3799.549,0.8718477
3800.51,0.9256592
3801.471,0.9653654
3802.432,0.9821181
3803.394,0.9956807
3804.355,0.9982738
3805.316,0.9985386
3806.277,0.9805254
3807.238,0.9677696
3808.199,0.9712178
3809.16,0.9795085
3810.122,0.9750156
3811.083,0.9868529
3812.044,0.9757332
3813.005,0.9608231
3813.966,0.9491419
3814.927,0.9575556
3815.888,0.9472353
3816.849,0.9480209
3817.811,0.9344603
3818.772,0.9441911
3819.733,0.9613209
3820.694,0.9525018
3821.655,0.9472576
3822.616,0.9376197
3823.577,0.9351201
3824.539,0.9316454
3825.5,0.9142155
3826.461,0.9040402
3827.422,0.9131393
3828.383,0.9098846
3829.344,0.8966461
3830.305,0.8760908
3831.266,0.8500921
3832.228,0.8364267
3833.189,0.8173319
3834.15,0.7988079
3835.111,0.7955818
3836.072,0.7848647
3837.033,0.8104675
3837.994,0.8425149
3838.956,0.8718295
3839.917,0.8884639
3840.878,0.8989835
3841.839,0.9099541
3842.8,0.9207859
3843.761,0.9293689
3844.722,0.9410444
3845.683,0.9273057
3846.645,0.9279193
3847.606,0.9288135
3848.567,0.9211681
3849.528,0.9030584
3850.489,0.906509
3851.45,0.8953385
3852.411,0.9011265
3853.373,0.9095945
3854.333,0.8978645
3855.295,0.8928956
3856.256,0.8989806
3857.217,0.8910247
3858.178,0.8785516
3859.139,0.8761315
3860.1,0.8870773
3861.062,0.8915958
3862.023,0.902339
3862.984,0.9148088
3863.945,0.9279683
3864.906,0.9205393
3865.867,0.907519
3866.828,0.8914736
3867.79,0.8534032
3868.75,0.8145553
3869.712,0.7756501
3870.673,0.7398551
3871.634,0.7080681
3872.595,0.6956958
3873.556,0.7080114
3874.517,0.7406653
3875.479,0.7603839
3876.44,0.7833217
3877.401,0.7759918
3878.362,0.7759364
3879.323,0.7642366
3880.284,0.7609705
3881.245,0.7762877
3882.207,0.7840661
3883.167,0.793813
3884.129,0.7997758
3885.09,0.7987103
3886.051,0.7976348
3887.012,0.7819389
3887.973,0.7703267
3888.934,0.758138
3889.896,0.7387739
3890.857,0.7520256
3891.818,0.7856648
3892.779,0.8002288
3893.74,0.8119572
3894.701,0.8200803
3895.662,0.821519
3896.624,0.8141596
3897.584,0.8144194
3898.546,0.8300796
3899.507,0.8448235
3900.468,0.8490061
3901.429,0.8559087
3902.39,0.8451919
3903.352,0.8409687
3904.312,0.8541439
3905.274,0.8738902
3906.235,0.8821435
3907.196,0.8730503
3908.157,0.8793012
3909.118,0.9010316
3910.079,0.9124783
3911.041,0.9073461
3912.001,0.8916385
3912.963,0.9019821
3913.924,0.9221828
3914.885,0.9275794
3915.846,0.9153526
3916.807,0.9059708
3917.769,0.9015892
3918.729,0.9070373
3919.691,0.901269
3920.652,0.8961582
3921.613,0.8906702
3922.574,0.9037309
3923.535,0.9338846
3924.496,0.9516027
3925.458,0.9587871
3926.418,0.9435496
3927.38,0.9051285
3928.341,0.8492078
3929.302,0.7747713
3930.263,0.7083811
3931.224,0.6524429
3932.186,0.6081856
3933.146,0.5791596
3934.108,0.5773047
3935.069,0.6236508
3936.03,0.7207039
3936.991,0.826854
3937.952,0.9185109
3938.913,0.9603438
3939.875,0.9578865
3940.836,0.947598
3941.797,0.9492283
3942.758,0.9457005
3943.719,0.9367589
3944.68,0.9289088
