mass,O3,N2,sSFR
9.49,0.32,-1.14,-1.2347272487575456
9.13,0.34,-1.15,-1.1757575877442807
9.56,0.35,-1.15,-1.1286366382003994
9.33,0.37,-1.15,-0.8528786517290801
9.55,0.39,-1.16,-1.4038721532076277
9.32,0.41,-1.15,-0.8148497262115502
9.21,0.44,-1.15,-0.5765315753433953
9.38,0.45,-1.15,-0.9028788424639433
9.21,0.47,-1.15,-0.2655173683500731
9.34,0.49,-1.15,-0.6772423130279783
9.34,0.51,-1.15,0.061400384906546535
9.15,0.53,-1.15,-0.039409921073675136
9.2,0.55,-1.15,0.20824014633947385
9.2,0.57,-1.15,-0.47572396310824416
9.05,0.59,-1.15,0.23780155200491393
9.19,0.61,-1.15,0.3298284058847045
9.07,0.63,-1.15,0.016360146035172107
9.01,0.65,-1.16,0.9476070435656734
9.39,0.66,-1.16,-0.6341254930999405
9.33,0.7,-1.16,1.0006167404931912
8.9,0.21,-1.12,-1.2979396369095486
9.75,0.29,-1.14,-1.0096373010926776
9.77,0.31,-1.13,-1.4477811765890696
9.2,0.33,-1.13,-1.2969098319804306
10.11,0.35,-1.13,-1.4765311938736687
9.09,0.37,-1.13,-0.5714861954526906
9.37,0.39,-1.13,-0.3968720330609141
9.18,0.41,-1.13,-1.0338722676485457
9.56,0.43,-1.13,-0.6849391562249991
9.08,0.45,-1.13,-0.28065937753958003
9.36,0.47,-1.13,-0.5965716756109831
9.13,0.49,-1.13,-0.18551744464401843
9.22,0.51,-1.13,-0.42065972086233394
9.38,0.53,-1.13,-0.01827228742713949
9.4,0.55,-1.13,0.20852640892610097
9.51,0.57,-1.13,0.020199482760569154
9.3,0.59,-1.13,-0.05945094007194385
9.36,0.61,-1.13,0.03269730161289175
10.02,0.62,-1.14,-1.015679088081777
9.44,0.65,-1.13,0.991364183775687
9.19,0.67,-1.13,0.2283016919665748
9.27,0.71,-1.13,0.5719843349077216
9.3,0.26,-1.11,-1.6979402091141385
9.4,0.27,-1.11,-1.4969096412455674
9.46,0.32,-1.11,-1.2558800651982853
10.01,0.33,-1.11,-1.1839254153629923
8.85,0.35,-1.11,-0.45206037279768907
9.04,0.38,-1.1,-0.8938719243257918
9.15,0.39,-1.11,-0.9195506925838881
9.47,0.41,-1.11,-1.0386364856125088
9.22,0.43,-1.11,-0.71485029841614
9.18,0.45,-1.11,-0.4898042166947061
9.24,0.47,-1.11,-0.1869213294673795
9.27,0.49,-1.11,-0.3779058710030192
9.45,0.51,-1.11,-0.5749385458734366
9.26,0.53,-1.11,-0.14941053142523764
9.14,0.55,-1.11,0.10303770536354051
9.52,0.57,-1.11,0.40531163767113654
9.39,0.59,-1.12,0.17110105284259447
9.64,0.61,-1.11,0.379946349432414
9.24,0.63,-1.11,0.9020766863717711
9.7,0.65,-1.11,0.4209030096035171
9.35,0.71,-1.11,0.7277307995678672
9.36,0.22,-1.09,-1.58184841600084
8.8,0.22,-1.09,-1.3228789457224384
9.42,0.24,-1.09,-1.215880103345258
8.81,0.27,-1.08,-0.9069104423319931
9.1,0.29,-1.09,-1.4979403998490017
9.49,0.3,-1.09,-1.0428417379269472
9.67,0.33,-1.09,-1.125932039339661
9.44,0.35,-1.09,-1.1177802992086985
9.45,0.37,-1.09,-0.7779019524309501
9.29,0.39,-1.09,-1.08587998890434
9.39,0.41,-1.09,-1.2438723057955183
9.49,0.43,-1.09,-0.7046699259227545
9.32,0.45,-1.09,-0.3905807569282942
9.37,0.47,-1.09,-0.324676901175458
9.38,0.49,-1.09,-0.522667600752337
9.34,0.51,-1.09,0.08651112118643667
9.23,0.53,-1.09,-0.14721415822812567
9.37,0.55,-1.09,0.0661627645159264
9.1,0.57,-1.09,0.08752032860893166
9.71,0.59,-1.09,-0.08468760877738646
9.2,0.61,-1.09,0.9616676100231931
9.07,0.62,-1.09,0.5063416531843572
9.48,0.64,-1.08,0.5676646464272324
9.18,0.7,-1.08,0.7539928663700213
9.44,0.71,-1.09,0.8357723390966498
9.13,0.2,-1.06,-1.5279401328201931
9.37,0.23,-1.08,-1.4157573588624448
9.93,0.25,-1.07,-1.1741254549529678
9.25,0.28,-1.08,-1.6479400183792752
9.8,0.29,-1.07,-1.3850268586938714
9.57,0.33,-1.07,-1.3939084185112254
9.31,0.35,-1.07,-0.7417986899527378
9.3,0.37,-1.07,-0.8228789187578887
9.27,0.39,-1.07,-0.6679404599642176
9.47,0.41,-1.07,-0.7624300990519597
9.31,0.43,-1.07,-0.5465724385504362
9.45,0.45,-1.07,-0.4246939674442629
9.03,0.47,-1.07,0.03069809837860582
9.36,0.49,-1.07,-0.330615857702643
9.52,0.51,-1.07,-0.3381568752685773
9.33,0.53,-1.07,0.21406812064422098
9.5,0.55,-1.07,-0.18613279169421126
9.37,0.57,-1.07,0.041619807561497524
9.45,0.59,-1.07,0.4067290845740086
9.54,0.61,-1.07,-0.18589152453826152
9.48,0.63,-1.07,0.5940851342199771
9.25,0.65,-1.07,0.31229287580374887
9.52,0.67,-1.07,0.64524387175884
10.28,0.7,-1.07,-0.9811466544802006
9.28,0.72,-1.08,1.3305539820935977
8.98,0.18,-1.05,-0.8039082659233348
9.04,0.18,-1.05,-1.1369099845683213
9.36,0.22,-1.06,-1.58184841600084
9.29,0.24,-1.05,-1.3869099845683213
9.35,0.25,-1.05,-1.651030370662216
9.15,0.27,-1.06,-1.3049015766670191
9.7,0.31,-1.05,-1.1202162180980046
9.35,0.33,-1.05,-0.9520603727976891
9.32,0.35,-1.05,-0.8148497262115502
9.2,0.37,-1.05,-0.7686360278488369
9.37,0.39,-1.05,-0.6887586578907339
9.31,0.41,-1.05,-0.6379025627825126
9.56,0.43,-1.05,-0.6057579216822493
9.46,0.45,-1.05,-0.403095192260178
9.36,0.47,-1.05,-0.22327908800924945
9.3,0.49,-1.05,-0.1507810883604357
9.47,0.51,-1.05,-0.17774418721977092
9.19,0.53,-1.05,0.08646222050283647
9.48,0.55,-1.05,0.29378690692845666
9.31,0.57,-1.05,0.16421584723925697
9.37,0.59,-1.05,0.505640064681053
9.48,0.61,-1.05,0.7252048465003735
9.89,0.63,-1.05,0.08358927306219854
9.6,0.64,-1.05,0.34890139627249717
9.46,0.68,-1.06,0.7767890612623205
9.42,0.73,-1.05,0.8965992162097436
9.19,0.13,-1.03,0.06767898075630896
9.83,0.2,-1.03,-1.298521002095688
9.7,0.21,-1.02,-1.0665313464615593
9.38,0.23,-1.04,-1.4257575877442807
9.22,0.25,-1.04,-1.2200002605573168
9.32,0.27,-1.02,-1.4749016529609644
9.38,0.29,-1.03,-1.1012465189377671
9.45,0.31,-1.03,-1.1947272869045182
9.25,0.33,-1.03,-0.9277807188253977
9.53,0.35,-1.03,-0.9736972149465917
9.54,0.37,-1.03,-0.7618486942120715
9.34,0.39,-1.03,-0.6324299846110417
9.25,0.41,-1.03,-0.392667486311419
9.39,0.43,-1.03,-0.5770870026097246
9.33,0.45,-1.03,-0.1481563412109601
9.38,0.47,-1.03,-0.33078208992173863
9.42,0.49,-1.03,-0.2158800871665285
9.56,0.51,-1.03,-0.372479709538041
9.52,0.53,-1.03,-0.020313363349130142
10.18,0.55,-1.02,-0.4836439347761736
9.32,0.57,-1.03,0.2190764087567132
9.45,0.58,-1.03,0.2108656615042257
9.49,0.61,-1.03,0.8344884747462089
9.2,0.63,-1.04,0.7344986612424069
9.06,0.64,-1.03,1.007442434506955
9.57,0.66,-1.03,0.9284487115044016
9.28,0.09,-1.01,-1.6779397513504666
9.18,0.17,-1.0,-1.4810302943682707
9.35,0.19,-1.01,-1.7479403998490017
9.65,0.21,-1.0,-1.3075769400613364
9.44,0.23,-1.01,-1.5369096030985947
9.26,0.25,-1.01,-1.1138721913546004
9.44,0.27,-1.01,-1.2639083040703074
9.48,0.29,-1.01,-1.137576863767391
9.17,0.31,-1.01,-1.0560567399169347
9.67,0.33,-1.01,-1.078935485197274
9.46,0.35,-1.01,-1.0128420049557558
9.2,0.37,-1.01,-0.9447272869045182
9.28,0.39,-1.01,-0.4166768615034613
9.24,0.41,-1.01,-0.5157239249612715
9.28,0.43,-1.01,-0.3715147128142213
9.43,0.45,-1.01,-0.4522767053366117
9.3,0.47,-1.01,-0.3222765908956937
9.34,0.49,-1.01,-0.21289534340506577
9.46,0.51,-1.01,0.14422601287692238
9.52,0.53,-1.01,0.29358054607366313
9.4,0.55,-1.01,0.14900363881556444
9.38,0.57,-1.01,0.4074603681853368
9.45,0.6,-1.01,0.17940981317141258
9.26,0.63,-1.02,-0.1808189655768988
9.72,0.65,-1.01,0.5170405301094849
9.63,0.67,-1.01,0.6293548146906733
9.45,0.1,-0.99,-1.847939827644412
9.09,0.14,-0.98,-1.4879401709671658
9.29,0.19,-0.99,-1.444901919989773
9.28,0.21,-0.99,-1.2799997264996996
9.23,0.23,-0.99,-1.1508183058959407
9.46,0.25,-0.98,-1.1812464426438218
9.29,0.27,-0.99,-1.1438719243257918
9.28,0.29,-0.99,-0.8997885009668227
9.35,0.31,-0.99,-1.0489703793342535
9.5,0.33,-0.99,-0.9436974819754003
9.42,0.35,-0.99,-0.757242236734033
9.44,0.37,-0.99,-0.7965469062503825
9.27,0.39,-0.99,-0.5296377588563494
9.48,0.41,-0.99,-0.49322779516053217
9.35,0.43,-0.99,-0.43618653287420095
9.34,0.45,-0.99,-0.10955121902798481
9.39,0.47,-0.99,-0.13714732159817977
9.19,0.49,-0.99,-0.011022635833015215
9.38,0.51,-0.99,0.17870844236267303
9.49,0.53,-0.99,0.25818824849204525
9.44,0.55,-0.99,0.7156400661114315
9.65,0.57,-0.99,0.2103383880407197
9.47,0.59,-0.99,0.4700178898809231
9.32,0.62,-0.99,1.0158592180246266
9.42,0.65,-0.99,0.7025434552711971
9.71,0.04,-0.97,-1.596056701769962
9.37,0.13,-0.96,-1.7679399039383572
9.49,0.17,-0.97,-1.3760564347411535
9.53,0.19,-0.97,-1.7518484922947852
9.33,0.2,-0.97,-1.0512463282029039
9.39,0.23,-0.97,-1.3108191069823665
9.31,0.25,-0.97,-1.1339091433037058
9.28,0.27,-0.97,-1.2386070501662356
9.53,0.29,-0.97,-1.1682718890752604
9.26,0.31,-0.97,-0.8620602202097984
9.29,0.33,-0.97,-0.8276019764507456
9.51,0.35,-0.97,-0.5462123936579424
9.39,0.37,-0.97,-0.597608650484375
9.48,0.39,-0.97,-0.5162117070124346
9.46,0.41,-0.97,-0.43881075879967746
9.54,0.43,-0.97,-0.4946769774694033
9.29,0.45,-0.97,-0.09966827704323578
9.47,0.47,-0.97,-1.7824403072275175E-4
9.47,0.49,-0.97,-0.05502693498781852
9.46,0.51,-0.97,0.21486110434210914
9.69,0.53,-0.97,0.21091348943565258
9.76,0.55,-0.97,0.3427763886167625
9.65,0.57,-0.97,0.39336266698724387
10.37,0.59,-0.97,-0.08942151692759026
9.63,0.6,-0.97,0.4466403403389094
9.27,0.63,-0.97,1.055925504265403
9.35,0.08,-0.94,-1.4469104041850205
9.71,0.1,-0.95,-1.3120600294749352
9.79,0.11,-0.95,-1.613908685540034
9.6,0.14,-0.95,-1.7549023396064722
9.21,0.15,-0.95,-1.4318487974705665
9.6,0.17,-0.95,-1.4239091051567332
9.48,0.19,-0.95,-1.0820595335642906
9.45,0.21,-0.95,-1.3708185729247493
9.25,0.23,-0.95,-0.9712464044968492
9.39,0.25,-0.95,-1.2760570069457433
9.4,0.27,-0.95,-1.0777803373556711
9.37,0.29,-0.95,-1.0912462900559312
9.4,0.31,-0.95,-0.9376016331279917
9.35,0.33,-0.95,-0.7065477073368083
9.32,0.35,-0.95,-0.6865312320206414
9.35,0.37,-0.95,-0.6872425419098143
9.37,0.39,-0.95,-0.49493862216738194
9.36,0.41,-0.95,-0.1270035365967761
9.29,0.43,-0.95,-0.26469412003215353
9.35,0.45,-0.95,-0.28554240473948234
9.43,0.47,-0.95,-0.12037014587097161
9.49,0.49,-0.95,-0.035154925642126855
9.4,0.51,-0.95,-0.07778034351899699
9.77,0.53,-0.95,0.0015870119047107778
9.63,0.55,-0.95,0.027055734767062134
9.69,0.57,-0.95,0.6234457884331022
9.92,0.59,-0.96,-0.20232959074735568
9.37,0.61,-0.95,0.9973560212463184
9.23,0.66,-0.96,0.9966003728030888
9.9,-0.02,-0.94,-1.5777803373556711
9.3,0.05,-0.93,-1.3969102134501572
9.92,0.09,-0.92,-1.6189700741584723
10.07,0.11,-0.93,-0.3233655018246395
9.71,0.13,-0.93,-1.4547275157863542
9.38,0.15,-0.93,-1.2660567780639074
9.3,0.17,-0.93,-1.2586075079299075
9.3,0.19,-0.93,-1.0212465952317125
9.35,0.21,-0.93,-1.094727859109108
9.28,0.23,-0.93,-1.2386070501662356
9.39,0.25,-0.93,-1.111246747819603
9.4,0.27,-0.93,-0.9528415853390566
9.43,0.29,-0.93,-0.8172164522442369
9.4,0.31,-0.93,-0.7767503416916899
9.4,0.33,-0.93,-0.7767503416916899
9.33,0.35,-0.93,-0.42690993024261914
9.49,0.37,-0.93,-0.48567840143626917
9.48,0.39,-0.93,-0.3796290004058722
9.52,0.41,-0.93,-0.27696240907737746
9.58,0.43,-0.93,-0.3495509901461489
9.46,0.45,-0.93,-0.10206519659619673
9.63,0.47,-0.93,0.019334747985801926
9.56,0.49,-0.93,0.047454624051079364
9.59,0.51,-0.93,0.04042772049720078
9.67,0.53,-0.93,0.22042094144087976
9.82,0.55,-0.93,0.6447878225491497
9.76,0.57,-0.93,-0.2414862952793353
9.25,0.59,-0.93,-0.1038719717177532
9.17,0.63,-0.93,0.6945110149490894
9.1,-0.08,-0.92,-2.1000003911769642
10.03,-0.05,-0.91,-2.184901691107937
9.31,0.05,-0.9,-1.6110304088091887
9.32,0.07,-0.91,-1.5418484541478126
8.86,0.09,-0.91,-0.8599996502057543
9.61,0.12,-0.91,-1.83184841600084
9.43,0.14,-0.92,-1.0875776267068442
9.5,0.15,-0.91,-1.596910022715294
9.34,0.17,-0.91,-1.1639088762748973
9.49,0.19,-0.91,-1.3760564347411535
9.31,0.21,-0.91,-1.2686077368117434
9.36,0.23,-0.91,-0.9620596480052086
9.44,0.25,-0.91,-1.025026248342309
9.45,0.27,-0.91,-1.0028417760739199
9.36,0.29,-0.91,-0.7265311938736687
9.42,0.31,-0.91,-0.7865316134903679
9.43,0.33,-0.91,-0.6376086123374023
9.5,0.35,-0.91,-0.49139983635916984
9.42,0.37,-0.91,-0.4468722237957774
9.59,0.39,-0.91,-0.41102320803760506
9.47,0.41,-0.91,-0.3269854712442335
9.28,0.43,-0.91,-0.3609216493277341
9.49,0.45,-0.91,0.09546094763253166
9.53,0.47,-0.91,-0.2995507994112856
9.62,0.49,-0.91,0.387321070621681
9.7,0.51,-0.91,0.2143433498722107
